# old_path	new_category
content-social/opentweet-x-poster	content-publishing
content-social/postfast	content-publishing
content-social/prompt-seller	travel-transport
content-social/resume-optimizer	media-processing
content-social/twitter	content-publishing
content-social/wechat-publisher	communication-messaging
content-social/x-post-automation	content-publishing
content-social/x-timeline-digest	content-publishing
content-social/x-trends-dev	content-publishing
content-social/xai-search	search-web
content-social/xbio	content-publishing
content-social/xiaohongshu-publisher	browser-automation
data-analytics/acp-rank	data-analytics
data-analytics/cochesnet-cli	data-analytics
data-analytics/creatordb-youtube-v3	data-analytics
data-analytics/csvtoexcel	data-analytics
data-analytics/dnfm-tracker	data-analytics
data-analytics/internet-failure-analysis-expert	data-analytics
data-analytics/moltext	data-analytics
data-analytics/qlik	data-analytics
data-analytics/qlik-cloud	data-analytics
data-analytics/qlik-cloud-skill	data-analytics
data-analytics/saas-revenue-tracker	data-analytics
data-analytics/sg-property-scraper	travel-transport
data-analytics/wakapi-sync-skill	data-analytics
data-integration/ai-news-collectors	knowledge-research
data-integration/auto-updater	devops-cloud
data-integration/deepread-ocr	media-processing
data-integration/download-tools	media-processing
data-integration/find-products	business-operations
data-integration/gonggong-hwpxskills-main	media-processing
data-integration/mixlab-solo-scope	knowledge-research
data-integration/ofdreader	media-processing
data-integration/pdftk-server	media-processing
data-integration/priceworld	business-operations
data-integration/telecom-agent-skill	communication-messaging
data-integration/turkey-news	knowledge-research
data-integration/update	devops-cloud
data-integration/x-hot-topics-daily	knowledge-research
developer-tools/coding-as-dressing	developer-tools
developer-tools/computer-vision-expert	developer-tools
developer-tools/content-moderation	security-compliance
developer-tools/conversation-summary-api	agent-core
developer-tools/data-reconciliation-exceptions	data-analytics
developer-tools/guardskills	security-compliance
developer-tools/install-scientify	knowledge-research
developer-tools/minimax-mcp	integrations-connectors
developer-tools/moltblock	developer-tools
developer-tools/moltcheck	security-compliance
developer-tools/opensysinfo	developer-tools
developer-tools/opensysinfo-skill	developer-tools
developer-tools/pangolin-utils	developer-tools
developer-tools/prompt-injection-guard	security-compliance
developer-tools/record	media-generation
developer-tools/skill-cleaner	security-compliance
developer-tools/skill-doctorbot-healthcheck-free	developer-tools
developer-tools/tmux-terminal	developer-tools
developer-tools/ui-ux-pro-max-plus	data-analytics
developer-tools/volcengine-config	developer-tools
development-system-tools/clawdbot-filesystem	developer-tools
development-system-tools/clawdbot-security-suite	security-compliance
development-system-tools/dht11-temp	developer-tools
development-system-tools/filesystem	developer-tools
development-system-tools/gopass	developer-tools
development-system-tools/let-me-know	communication-messaging
development-system-tools/parallel-task-executor	developer-tools
development-system-tools/vibetunnel	data-analytics
development-workflows/claude-tmux-runner	agent-core
development-workflows/claude-usage-checker	developer-tools
development-workflows/clrun	developer-tools
development-workflows/coder	developer-tools
development-workflows/cursor-cli-headless	agent-orchestration
development-workflows/evolve	security-compliance
development-workflows/foundry	knowledge-research
development-workflows/freeride-opencode	agent-orchestration
development-workflows/git-pushing	developer-tools
development-workflows/gitflow	devops-cloud
development-workflows/github-issue-creator	developer-tools
development-workflows/go-security-vulnerability	security-compliance
development-workflows/gov-apply	developer-tools
development-workflows/iam	developer-tools
development-workflows/opencode-controller	agent-orchestration
development-workflows/pr-commit-workflow	developer-tools
development-workflows/pr-review-loop	developer-tools
development-workflows/schema-markup-generator	content-publishing
development-workflows/securevibes-scanner	security-compliance
development-workflows/skill-doctorbot-ci-validator	knowledge-research
development-workflows/snek	developer-tools
development-workflows/uv-priority	developer-tools
development-workflows/vhs-recorder	developer-tools
devops-infrastructure/astra-docker	devops-cloud
devops-infrastructure/awscli	devops-cloud
devops-infrastructure/bun-runtime	devops-cloud
devops-infrastructure/clawdbot-macos-build	developer-tools
devops-infrastructure/cloudmonkey	devops-cloud
devops-infrastructure/deterministic-controller	agent-core
devops-infrastructure/docker-essentials-1-0-0	media-generation
devops-infrastructure/git-crypt-backup	devops-cloud
devops-infrastructure/godaddy	devops-cloud
devops-infrastructure/k8s-backup	devops-cloud
devops-infrastructure/k8s-certs	devops-cloud
devops-infrastructure/lybic-sandbox	devops-cloud
devops-infrastructure/mcp-ssh-manager	devops-cloud
devops-infrastructure/n8n-automation	devops-cloud
devops-infrastructure/omarchy	security-compliance
devops-infrastructure/openclaw-auto-updater	devops-cloud
devops-infrastructure/openclaw-server-secure-skill	security-compliance
devops-infrastructure/openclaw-update	devops-cloud
devops-infrastructure/openclaw-update-skill	devops-cloud
devops-infrastructure/openclaw-updater-v2	devops-cloud
devops-infrastructure/openclaw-workspace-governance-installer	devops-cloud
devops-infrastructure/proxymock	devops-cloud
devops-infrastructure/railway-deploy	travel-transport
devops-infrastructure/saas-builder	data-analytics
devops-infrastructure/sandboxer-tmux	devops-cloud
devops-infrastructure/sys-updater	devops-cloud
devops-infrastructure/tencentcloud-lighthouse-skill	integrations-connectors
devops-infrastructure/toolguard-daemon-control	devops-cloud
finance-data-services/data-structure	data-analytics
finance-data-services/db-query	devops-cloud
finance-data-services/edinet-mcp	finance-markets
finance-data-services/japanfinance-agent	finance-markets
finance-data-services/jquants-mcp	finance-markets
finance-data-services/ned-analytics	data-analytics
finance-data-services/s2s-forecasting-expert	finance-markets
finance-data-services/stock-price-checker	finance-markets
finance-data-services/tdnet-disclosure-mcp	finance-markets
hardware-iot/ardupilot	smart-home-iot
hardware-iot/claw-mouse	smart-home-iot
hardware-iot/fox-lights	smart-home-iot
hardware-iot/mijia	smart-home-iot
hardware-iot/molt-mouse	smart-home-iot
hardware-iot/nano-banana-korean-rendering	smart-home-iot
hardware-iot/screen-monitor	smart-home-iot
information-research/afrexai-competitor-monitor	knowledge-research
information-research/airbnb	travel-transport
information-research/arxiv-paper-reviews	knowledge-research
information-research/arxiv-watcher	knowledge-research
information-research/arxiv-watcher-vigo	knowledge-research
information-research/baidu-baike	knowledge-research
information-research/baidu-baike-search	knowledge-research
information-research/baidu-milan-winter-olympics-2026	knowledge-research
information-research/bbc-news	knowledge-research
information-research/birdnet	knowledge-research
information-research/blog-writer	content-publishing
information-research/catalog	agent-core
information-research/ceorater	finance-markets
information-research/dash-cog	data-analytics
information-research/dellight-cro-revenue-ops	data-analytics
information-research/fomo-research-skill	knowledge-research
information-research/geepers-corpus	knowledge-research
information-research/geo-ip	knowledge-research
information-research/gousto	knowledge-research
information-research/idealista-cli	knowledge-research
information-research/ironclaw-lead-enrichment	communication-messaging
information-research/ironclaw-pipeline-analytics	data-analytics
information-research/japan-news-mcp	finance-markets
information-research/jtbd-analyzer	knowledge-research
information-research/jwdiario	knowledge-research
information-research/k-cinema-bridge	knowledge-research
information-research/ket	knowledge-research
information-research/kimi-usage-monitor	knowledge-research
information-research/kradleverse-act	knowledge-research
information-research/kradleverse-join	knowledge-research
information-research/kradleverse-observe	knowledge-research
information-research/localrank-agent-skills	content-publishing
information-research/location-context	knowledge-research
information-research/nostr-plantr	knowledge-research
information-research/observe	knowledge-research
information-research/product-research	communication-messaging
information-research/proxy-balance	knowledge-research
information-research/qweather	knowledge-research
information-research/revenuecat	finance-markets
information-research/slashbot-news	knowledge-research
information-research/sr1	knowledge-research
information-research/tidbyt-status	data-analytics
information-research/tnbc-research-swarm	agent-orchestration
information-research/wilma-triage	communication-messaging
information-research/zoomin-scraper-recklessop	browser-automation
integrations-apis/autotask-mcp	devops-cloud
integrations-apis/clawdhub-1-0-0	integrations-connectors
integrations-apis/clawdhub-copy	integrations-connectors
integrations-apis/clawhub-6yr3b	integrations-connectors
integrations-apis/clawingtrap	games-entertainment
integrations-apis/coding-agent-user-rules	developer-tools
integrations-apis/devtopia	integrations-connectors
integrations-apis/geeksdobyte-motivation-skill	integrations-connectors
integrations-apis/google-maps-grounding-lite-mcp	integrations-connectors
integrations-apis/grok-search	search-web
integrations-apis/leak	integrations-connectors
integrations-apis/moltbook-optimizer	content-publishing
integrations-apis/skill-installer	devops-cloud
integrations-apis/test-new-skill	integrations-connectors
integrations-apis/test-simple-abc	integrations-connectors
integrations-apis/vassili-clawhub-cli	integrations-connectors
knowledge-research/beads	agent-core
knowledge-research/deep-research	knowledge-research
knowledge-research/deep-researchj	knowledge-research
knowledge-research/deep-think	knowledge-research
knowledge-research/graphiti	knowledge-research
knowledge-research/hybrid-memory	knowledge-research
knowledge-research/intodns	communication-messaging
knowledge-research/kb-search	knowledge-research
knowledge-research/mobb-vulnerabilities-fixer	security-compliance
knowledge-research/openviking	agent-core
knowledge-research/parallel-deep-research	search-web
knowledge-research/qverisai	knowledge-research
knowledge-research/searxng-local	search-web
knowledge-research/searxng-metasearch	search-web
knowledge-research/searxng-self-hosted	search-web
knowledge-research/specification-extractor	knowledge-research
knowledge-research/zotero-sholar	knowledge-research
media-content/data-viz	data-analytics
media-content/instagram-reels	media-processing
media-content/pptx-pdf-font-fix	media-processing
media-content/printer	media-processing
media-content/webpage-screenshot	browser-automation
media-content/winamp	games-entertainment
media-content/x-trends	content-publishing
media-content/youtube-shorts	media-generation
media-entertainment/ahmed	games-entertainment
media-entertainment/anthropic-frontend-design	developer-tools
media-entertainment/apple-media	games-entertainment
media-entertainment/arr-all	integrations-connectors
media-entertainment/bililidownloader	media-processing
media-entertainment/catime	games-entertainment
media-entertainment/chess	games-entertainment
media-entertainment/chromecast-control	games-entertainment
media-entertainment/claw-werewolf-live	games-entertainment
media-entertainment/clawclashapp	games-entertainment
media-entertainment/clawos	agent-orchestration
media-entertainment/clawtunes	games-entertainment
media-entertainment/creative-ideator	games-entertainment
media-entertainment/cultivation-chronicle-cn	games-entertainment
media-entertainment/eachlabs-music	media-generation
media-entertainment/frinkiac	games-entertainment
media-entertainment/frontend-design-1-0-0	developer-tools
media-entertainment/frontend-design-2	developer-tools
media-entertainment/frontend-design-3	developer-tools
media-entertainment/gamifyhost	games-entertainment
media-entertainment/glowskin-promo	content-publishing
media-entertainment/hitchhikers-guide	games-entertainment
media-entertainment/inworld-tts	media-generation
media-entertainment/landing-page-roast	content-publishing
media-entertainment/lidarr	integrations-connectors
media-entertainment/lyrics-search	media-processing
media-entertainment/molt-city	games-entertainment
media-entertainment/molterstrike	games-entertainment
media-entertainment/moltmon	games-entertainment
media-entertainment/podcast-generation	media-generation
media-entertainment/product-image-generator	media-generation
media-entertainment/reachy-mini	smart-home-iot
media-entertainment/renderful-generation	media-generation
media-entertainment/roast-games	games-entertainment
media-entertainment/roofing-knowledge-mentor	knowledge-research
media-entertainment/scrapyard	games-entertainment
media-entertainment/screenshot-capture	media-processing
media-entertainment/seo-content-engine	content-publishing
media-entertainment/skanetrafiken	travel-transport
media-entertainment/sonos	games-entertainment
media-entertainment/speedtest	developer-tools
media-entertainment/spongo	games-entertainment
media-entertainment/spotify	games-entertainment
media-entertainment/stremio-cast	games-entertainment
media-entertainment/tiktok-product-promotion	content-publishing
media-entertainment/trackyard	games-entertainment
media-entertainment/vap-media	media-generation
media-entertainment/vap-multimedia-generation	media-generation
media-entertainment/vector-robot	smart-home-iot
media-entertainment/vehicle-tracker	productivity-personal
media-entertainment/video-watcher	media-processing
media-entertainment/whispers-from-the-star	games-entertainment
media-entertainment/wiim	games-entertainment
media-entertainment/wishfinity	business-operations
media-entertainment/wps-punchclock	productivity-personal
media-entertainment/youtube-scrapper	media-processing
media-processing/ai-podcast	media-processing
media-processing/avatar-video-messages	communication-messaging
media-processing/bilibili-youtube-watcher	media-processing
media-processing/docling	search-web
media-processing/docstrange	media-processing
media-processing/douyin-video-fetch	media-processing
media-processing/eachlabs-image-edit	media-generation
media-processing/espeak-ng	media-generation
media-processing/gemini-image-proxy	media-generation
media-processing/homepod-tts	media-generation
media-processing/image-magik-resize	media-processing
media-processing/image-resize	media-processing
media-processing/inkjet	media-processing
media-processing/insaiai-intelligent-editing	media-processing
media-processing/instagram-reel-downloader-whatsapp	communication-messaging
media-processing/local-vosk	communication-messaging
media-processing/masonry-generate-image-and-video	media-generation
media-processing/nano-banana-pro-image-gen	media-generation
media-processing/nanobanana-pro-fallback	media-generation
media-processing/notebooklm-cli-cookies	media-processing
media-processing/openclaw-qr-code	communication-messaging
media-processing/overleaf-skill	media-processing
media-processing/qr-code	media-generation
media-processing/qr-code-intelligence	media-generation
media-processing/qr-code-pro	media-generation
media-processing/sapi-tts	media-generation
media-processing/seedance-guide	media-generation
media-processing/seeddance-ai-video	media-generation
media-processing/svg-draw	media-generation
media-processing/telegram-voice-to-voice-macos	communication-messaging
media-processing/tiangong-notebooklm-cli	communication-messaging
media-processing/tiktok-crawling	media-processing
media-processing/transcribee	media-processing
media-processing/veo	media-generation
media-processing/veo-video-generator	media-generation
media-processing/video-download-faas	media-processing
media-processing/whisnap	media-processing
media-processing/youtube-summary	media-processing
media-processing/youtube-transcript-analyzer	media-processing
media-processing/youtube-voice-summarizer-elevenlabs	media-generation
media-processing/youtube-watcher	media-processing
media-processing/youtube-watcherkx	media-processing
media_content/.ruff_cache	media-processing
mobile-design/android-adb	developer-tools
mobile-design/apple-hig	developer-tools
mobile-design/asc-release-flow	travel-transport
mobile-design/axe-devtools	developer-tools
mobile-design/fivem-dev	devops-cloud
mobile-design/godot-dev-guide	developer-tools
mobile-design/guicountrol	browser-automation
mobile-design/hidpi-mouse	developer-tools
mobile-design/ios-view-generator	developer-tools
mobile-design/lb-motion-skill	developer-tools
mobile-design/lb-shadcn-ui-skill	data-analytics
mobile-design/raycast	knowledge-research
mobile-design/react-native-update	devops-cloud
mobile-design/remix-api-key-auth	developer-tools
mobile-design/symbolpicker	developer-tools
productivity-automation/anki-connect	productivity-personal
productivity-automation/arya-reminders	productivity-personal
productivity-automation/caldav-calendar-1-0-1	productivity-personal
productivity-automation/calendar	productivity-personal
productivity-automation/cron-retry	devops-cloud
productivity-automation/health-sync	productivity-personal
productivity-automation/healthcheck	knowledge-research
productivity-automation/intermittent-fasting-skill	communication-messaging
productivity-automation/joan-workflow	productivity-personal
productivity-automation/lore	knowledge-research
productivity-automation/memory	agent-core
productivity-automation/memory-complete	agent-core
productivity-automation/memory-maintenance	agent-core
productivity-automation/mentx-doctor	productivity-personal
productivity-automation/open-ralph	developer-tools
productivity-automation/remember-me	productivity-personal
productivity-automation/staratheris-arya-reminders	productivity-personal
productivity-automation/task-scheduler	communication-messaging
productivity-automation/water-coach	data-analytics
productivity-task-management/birthday-reminder	agent-core
productivity-task-management/calctl	agent-core
productivity-task-management/clawkeeper	agent-core
productivity-task-management/clawpm	agent-core
productivity-task-management/family-todo-management	agent-core
productivity-task-management/nag	agent-core
productivity-task-management/telegram-todolist	agent-core
productivity-task-management/timecamp	agent-core
productivity-task-management/todoist-rs	agent-core
productivity-task-management/todoist-td	agent-core
productivity-tools/ai-interview-simulator-candaigo	productivity-personal
productivity-tools/airshelf	business-operations
productivity-tools/amap	productivity-personal
productivity-tools/argos-product-research	knowledge-research
productivity-tools/bring-shopping	communication-messaging
productivity-tools/code-docs-generator	productivity-personal
productivity-tools/dupe	productivity-personal
productivity-tools/fill-content-by-mixlab	productivity-personal
productivity-tools/flightclaw	travel-transport
productivity-tools/futa-tracker	travel-transport
productivity-tools/get-weather	knowledge-research
productivity-tools/gold-price-mcp	productivity-personal
productivity-tools/irish-takeaway	browser-automation
productivity-tools/mal-lookup	productivity-personal
productivity-tools/navifare-hidden-flight-deals	travel-transport
productivity-tools/nlb	productivity-personal
productivity-tools/openclaw-reportstudio-community	media-processing
productivity-tools/rankaj	knowledge-research
productivity-tools/rea-search	travel-transport
productivity-tools/report-generator	data-analytics
productivity-tools/rv-measure	productivity-personal
productivity-tools/strava-python	productivity-personal
productivity-tools/trash-audit	productivity-personal
productivity-tools/vnsh	productivity-personal
productivity-tools/website-builder	business-operations
productivity/adhd-daily-planner	productivity-personal
productivity/ai-meeting-room	developer-tools
productivity/asdasd	integrations-connectors
productivity/banshee-s-last-cry	games-entertainment
productivity/better-notion	productivity-personal
productivity/bring	productivity-personal
productivity/calendar-reminders	productivity-personal
productivity/case-record-socialwork	productivity-personal
productivity/cognary-ai-tasks	agent-core
productivity/confirm-form	developer-tools
productivity/craft	agent-core
productivity/create-videoconference	communication-messaging
productivity/d4-world-boss	productivity-personal
productivity/dev-chronicle	media-processing
productivity/focus-mode	agent-core
productivity/freedcamp-agent-skill	productivity-personal
productivity/gamification-xp	productivity-personal
productivity/get-focus-mode	productivity-personal
productivity/grazy	productivity-personal
productivity/knowledge-graph	agent-core
productivity/makeovern	productivity-personal
productivity/meetup-planner	productivity-personal
productivity/no-nonsense-tasks	agent-core
productivity/notectl	productivity-personal
productivity/notion-clipper-skill	productivity-personal
productivity/pandic-office	media-processing
productivity/pear-apple	productivity-personal
productivity/pear-icloud	productivity-personal
productivity/personal-ideas	communication-messaging
productivity/personal-love	communication-messaging
productivity/personal-notes	communication-messaging
productivity/personal-travel	travel-transport
productivity/planka	productivity-personal
productivity/planka-cli	productivity-personal
productivity/political-struggle	knowledge-research
productivity/pomodoro-bot	productivity-personal
productivity/pref0	productivity-personal
productivity/probar	communication-messaging
productivity/supervisor-proposer	productivity-personal
productivity/timely	productivity-personal
productivity/timer	productivity-personal
productivity/truetime	productivity-personal
productivity/variflight-aviation	travel-transport
productivity/whispers-from-the-star-cn	games-entertainment
productivity/writing-plans-2	productivity-personal
productivity/xuezh	developer-tools
productivity/yoebao-bazi	finance-markets
productivity/yoebao-yao	finance-markets
smart-home-iot/bambu-local	smart-home-iot
smart-home-iot/dtek-light	smart-home-iot
smart-home-iot/google-home-control	smart-home-iot
smart-home-iot/lan-media-server	smart-home-iot
smart-home-iot/midea-ac	smart-home-iot
smart-home-iot/nostr-weather	smart-home-iot
smart-home-iot/nzbget	smart-home-iot
smart-home-iot/openclaw-robotics	smart-home-iot
smart-home-iot/overseerr	smart-home-iot
smart-home-iot/tautulli	smart-home-iot
smart-home-iot/weather-esp32	smart-home-iot
system-developer-tools/async-web-search	search-web
system-developer-tools/clawctl	agent-orchestration
system-developer-tools/clawion	agent-orchestration
system-developer-tools/moltbook-validator	developer-tools
system-developer-tools/moltworld-dashboard-deploy	devops-cloud
system-developer-tools/ns-trains	travel-transport
system-developer-tools/railil	travel-transport
system-developer-tools/server-monitor	devops-cloud
system-developer-tools/skill-railil	travel-transport
system-developer-tools/system-monitor	devops-cloud
system-developer-tools/wiz-light-control	smart-home-iot
trustskill/.pytest_cache	security-compliance
trustskill/references	security-compliance
trustskill/scripts	security-compliance
trustskill/security_categories	security-compliance
trustskill/security_scan_results	security-compliance
trustskill/src	security-compliance
trustskill/tests	security-compliance
utilities/aholake-expense-tracker	productivity-personal
utilities/al-khanjry-bus	communication-messaging
utilities/applicant-screening	productivity-personal
utilities/beijing-tech-finance	finance-markets
utilities/calorie-counter	productivity-personal
utilities/carddav-contacts	productivity-personal
utilities/clawd-presence	agent-core
utilities/clawdbot-skill-voice-wake-say	media-processing
utilities/code-task-generator	developer-tools
utilities/email-best-practices	communication-messaging
utilities/envios	productivity-personal
utilities/expense-tracker	productivity-personal
utilities/file-organizer	developer-tools
